search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
reason-reference,Procedure,reason-reference,draft,reference,f:Procedure/f:reasonReference,Procedure.reasonReference,Condition|Observation|Procedure|DiagnosticReport|DocumentReference,Procedure.reasonReference
status,Procedure,status,draft,token,f:Procedure/f:status,Procedure.status,None,Procedure.status
subject,Procedure,subject,draft,reference,f:Procedure/f:subject,Procedure.subject,Group|Patient,Procedure.subject
agent,Provenance,agent,draft,reference,f:Provenance/f:agent/f:who,Provenance.agent.who,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,Provenance.agent.who
agent-role,Provenance,agent-role,draft,token,f:Provenance/f:agent/f:role,Provenance.agent.role,None,Provenance.agent.role
agent-type,Provenance,agent-type,draft,token,f:Provenance/f:agent/f:type,Provenance.agent.type,None,Provenance.agent.type
entity,Provenance,entity,draft,reference,f:Provenance/f:entity/f:what,Provenance.entity.what,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Provenance.entity.what
location,Provenance,location,draft,reference,f:Provenance/f:location,Provenance.location,Location,Provenance.location
patient,Provenance,patient,draft,reference,f:Provenance/f:target,Provenance.target,Patient,Provenance.target.where(resolve() is Patient)
recorded,Provenance,recorded,draft,date,f:Provenance/f:recorded,Provenance.recorded,None,Provenance.recorded
signature-type,Provenance,signature-type,draft,token,f:Provenance/f:signature/f:type,Provenance.signature.type,None,Provenance.signature.type
target,Provenance,target,draft,reference,f:Provenance/f:target,Provenance.target,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Provenance.target
when,Provenance,when,draft,date,f:Provenance/f:occurredDateTime,Provenance.occurredDateTime,None,(Provenance.occurred as dateTime)
code,Questionnaire,code,draft,token,f:Questionnaire/f:item/f:code,Questionnaire.item.code,None,Questionnaire.item.code
context,Questionnaire,context,draft,token,f:Questionnaire/f:useContext/f:valueCodeableConcept,Questionnaire.useContext.valueCodeableConcept,None,(Questionnaire.useContext.value as CodeableConcept)
context-quantity,Questionnaire,context-quantity,draft,quantity,f:Questionnaire/f:useContext/f:valueQuantity | f:Questionnaire/f:useContext/f:valueRange,Questionnaire.useContext.valueQuantity | Questionnaire.useContext.valueRange,None,(Questionnaire.useContext.value as Quantity) | (Questionnaire.useContext.value as Range)
context-type,Questionnaire,context-type,draft,token,f:Questionnaire/f:useContext/f:code,Questionnaire.useContext.code,None,Questionnaire.useContext.code
date,Questionnaire,date,draft,date,f:Questionnaire/f:date,Questionnaire.date,None,Questionnaire.date
definition,Questionnaire,definition,draft,uri,f:Questionnaire/f:item/f:definition,Questionnaire.item.definition,None,Questionnaire.item.definition
description,Questionnaire,description,draft,string,f:Questionnaire/f:description,Questionnaire.description,None,Questionnaire.description
effective,Questionnaire,effective,draft,date,f:Questionnaire/f:effectivePeriod,Questionnaire.effectivePeriod,None,Questionnaire.effectivePeriod
identifier,Questionnaire,identifier,draft,token,f:Questionnaire/f:identifier,Questionnaire.identifier,None,Questionnaire.identifier
jurisdiction,Questionnaire,jurisdiction,draft,token,f:Questionnaire/f:jurisdiction,Questionnaire.jurisdiction,None,Questionnaire.jurisdiction
name,Questionnaire,name,draft,string,f:Questionnaire/f:name,Questionnaire.name,None,Questionnaire.name
publisher,Questionnaire,publisher,draft,string,f:Questionnaire/f:publisher,Questionnaire.publisher,None,Questionnaire.publisher
status,Questionnaire,status,draft,token,f:Questionnaire/f:status,Questionnaire.status,None,Questionnaire.status
subject-type,Questionnaire,subject-type,draft,token,f:Questionnaire/f:subjectType,Questionnaire.subjectType,None,Questionnaire.subjectType
title,Questionnaire,title,draft,string,f:Questionnaire/f:title,Questionnaire.title,None,Questionnaire.title
url,Questionnaire,url,draft,uri,f:Questionnaire/f:url,Questionnaire.url,None,Questionnaire.url
version,Questionnaire,version,draft,token,f:Questionnaire/f:version,Questionnaire.version,None,Questionnaire.version
context-type-quantity,Questionnaire,context-type-quantity,draft,composite,None,None,None,Questionnaire.useContext
context-type-value,Questionnaire,context-type-value,draft,composite,None,None,None,Questionnaire.useContext
author,QuestionnaireResponse,author,draft,reference,f:QuestionnaireResponse/f:author,QuestionnaireResponse.author,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,QuestionnaireResponse.author
authored,QuestionnaireResponse,authored,draft,date,f:QuestionnaireResponse/f:authored,QuestionnaireResponse.authored,None,QuestionnaireResponse.authored
based-on,QuestionnaireResponse,based-on,draft,reference,f:QuestionnaireResponse/f:basedOn,QuestionnaireResponse.basedOn,CarePlan|ServiceRequest,QuestionnaireResponse.basedOn
encounter,QuestionnaireResponse,encounter,draft,reference,f:QuestionnaireResponse/f:encounter,QuestionnaireResponse.encounter,Encounter,QuestionnaireResponse.encounter
identifier,QuestionnaireResponse,identifier,draft,token,f:QuestionnaireResponse/f:identifier,QuestionnaireResponse.identifier,None,QuestionnaireResponse.identifier
part-of,QuestionnaireResponse,part-of,draft,reference,f:QuestionnaireResponse/f:partOf,QuestionnaireResponse.partOf,Observation|Procedure,QuestionnaireResponse.partOf
patient,QuestionnaireResponse,patient,draft,reference,f:QuestionnaireResponse/f:subject,QuestionnaireResponse.subject,Patient,QuestionnaireResponse.subject.where(resolve() is Patient)
questionnaire,QuestionnaireResponse,questionnaire,draft,reference,f:QuestionnaireResponse/f:questionnaire,QuestionnaireResponse.questionnaire,Questionnaire,QuestionnaireResponse.questionnaire
source,QuestionnaireResponse,source,draft,reference,f:QuestionnaireResponse/f:source,QuestionnaireResponse.source,Practitioner|Patient|PractitionerRole|RelatedPerson,QuestionnaireResponse.source
status,QuestionnaireResponse,status,draft,token,f:QuestionnaireResponse/f:status,QuestionnaireResponse.status,None,QuestionnaireResponse.status
subject,QuestionnaireResponse,subject,draft,reference,f:QuestionnaireResponse/f:subject,QuestionnaireResponse.subject,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,QuestionnaireResponse.subject
active,RelatedPerson,active,draft,token,f:RelatedPerson/f:active,RelatedPerson.active,None,RelatedPerson.active
identifier,RelatedPerson,identifier,draft,token,f:RelatedPerson/f:identifier,RelatedPerson.identifier,None,RelatedPerson.identifier
name,RelatedPerson,name,draft,string,f:RelatedPerson/f:name,RelatedPerson.name,None,RelatedPerson.name
patient,RelatedPerson,patient,draft,reference,f:RelatedPerson/f:patient,RelatedPerson.patient,Patient,RelatedPerson.patient
relationship,RelatedPerson,relationship,draft,token,f:RelatedPerson/f:relationship,RelatedPerson.relationship,None,RelatedPerson.relationship
author,RequestGroup,author,draft,reference,f:RequestGroup/f:author,RequestGroup.author,Practitioner|Device|PractitionerRole,RequestGroup.author
authored,RequestGroup,authored,draft,date,f:RequestGroup/f:authoredOn,RequestGroup.authoredOn,None,RequestGroup.authoredOn
code,RequestGroup,code,draft,token,f:RequestGroup/f:code,RequestGroup.code,None,RequestGroup.code
encounter,RequestGroup,encounter,draft,reference,f:RequestGroup/f:encounter,RequestGroup.encounter,Encounter,RequestGroup.encounter
group-identifier,RequestGroup,group-identifier,draft,token,f:RequestGroup/f:groupIdentifier,RequestGroup.groupIdentifier,None,RequestGroup.groupIdentifier
identifier,RequestGroup,identifier,draft,token,f:RequestGroup/f:identifier,RequestGroup.identifier,None,RequestGroup.identifier
instantiates-canonical,RequestGroup,instantiates-canonical,draft,reference,f:RequestGroup/f:instantiatesCanonical,RequestGroup.instantiatesCanonical,None,RequestGroup.instantiatesCanonical
instantiates-uri,RequestGroup,instantiates-uri,draft,uri,f:RequestGroup/f:instantiatesUri,RequestGroup.instantiatesUri,None,RequestGroup.instantiatesUri
intent,RequestGroup,intent,draft,token,f:RequestGroup/f:intent,RequestGroup.intent,None,RequestGroup.intent
participant,RequestGroup,participant,draft,reference,f:RequestGroup/f:action/f:participant,RequestGroup.action.participant,Practitioner|Device|Patient|PractitionerRole|RelatedPerson,RequestGroup.action.participant
patient,RequestGroup,patient,draft,reference,f:RequestGroup/f:subject,RequestGroup.subject,Patient,RequestGroup.subject.where(resolve() is Patient)
priority,RequestGroup,priority,draft,token,f:RequestGroup/f:priority,RequestGroup.priority,None,RequestGroup.priority
